,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
9357,152,39.0853584,3.55668,5.04332
9358,gen=43_member=7225_pso,16.19156668,7.742634,0.857366
9359,130,38.6001,3.6522999999999994,4.9477
9360,16,38.467534,3.85886,4.74114
9361,95,38.900657200000005,3.6384599999999994,4.96154
9362,156,37.6137644,3.9265499999999998,4.67345
9363,gen=45_member=7603_pso,18.352036,7.691274999999999,0.908725
9364,10,37.7474444,3.86053,4.73947
9365,gen=41_member=6974_pso,18.915073879999998,7.634867,0.965133
9366,gen=40_member=6868_pso,33.2609208,5.827019999999999,2.77298
9367,gen=38_member=6459_pso,34.4286156,5.43524,3.16476
9368,gen=44_member=7455_pso,33.1617748,5.8797299999999995,2.72027
9369,gen=49_member=8299_pso,27.652822,7.041449999999999,1.55855
9370,gen=47_member=7949_pso,29.7279812,6.70287,1.89713
9371,gen=45_member=7673_pso,28.3684556,6.89272,1.70728
9372,gen=38_member=6530_pso,19.424260999999998,7.602397,0.997603
9373,gen=46_member=7740_pso,17.348834439999997,7.7041059999999995,0.895894
9375,gen=44_member=7491_pso,20.87662736,7.51819,1.08181
9376,gen=49_member=8384_pso,27.6581692,6.99521,1.60479
9377,gen=48_member=8195_pso,24.1925152,7.35388,1.24612
9378,gen=49_member=8325_pso,34.0175496,5.6029599999999995,2.99704
9379,gen=46_member=7896_pso,25.808929199999998,7.219539999999999,1.38046
9380,gen=49_member=8327_pso,20.492653840000003,7.553,1.047
9381,gen=36_member=6031_pso,22.79244,7.4429,1.1571
9382,gen=42_member=7167_pso,30.3513756,6.54986,2.05014
9383,gen=46_member=7763_pso,32.279709600000004,6.133659999999999,2.46634
9384,gen=32_member=5487_pso,36.3736596,4.48103,4.11897
9385,gen=42_member=7092_pso,30.3235256,6.578189999999999,2.02181
9386,gen=39_member=6564_pso,32.3120156,6.09972,2.50028
9387,gen=24_member=3960_pso,37.1717292,4.03567,4.56433
9388,gen=49_member=8388_pso,28.2969368,6.93389,1.66611
9389,gen=45_member=7639_pso,33.9553884,5.6341,2.9659
9390,gen=43_member=7372_pso,34.7594736,5.292769999999999,3.30723
9391,gen=29_member=4942_pso,37.119594,4.0575399999999995,4.54246
9392,gen=44_member=7525_pso,35.923158,4.718109999999999,3.88189
9393,gen=38_member=6448_pso,34.9586568,5.19383,3.40617
9394,gen=41_member=7014_pso,31.864856,6.21988,2.38012
9395,gen=47_member=8036_pso,32.4198508,6.09078,2.50922
9396,gen=29_member=4883_pso,28.904735199999998,6.809019999999999,1.79098
9397,gen=37_member=6298_pso,30.6485908,6.49689,2.10311
9398,gen=40_member=6800_pso,36.2475548,4.55176,4.04824
9399,gen=45_member=7698_pso,27.070645600000002,7.11147,1.48853
9400,gen=31_member=5188_pso,25.6839384,7.246099999999999,1.3539
9401,gen=31_member=5310_pso,22.539339199999997,7.46406,1.13594
9402,gen=42_member=7204_pso,33.0492608,5.91463,2.68537
9403,gen=49_member=8348_pso,34.7269448,5.31179,3.28821
9404,gen=46_member=7828_pso,34.4696108,5.40121,3.19879
9405,gen=45_member=7590_pso,31.4881012,6.3080099999999995,2.29199
9406,gen=42_member=7192_pso,37.09753679999999,4.07632,4.52368
9407,gen=48_member=8168_pso,34.2394584,5.50036,3.09964
9408,gen=40_member=6741_pso,25.466708399999998,7.27344,1.32656
9409,gen=46_member=7879_pso,31.742984399999997,6.25722,2.34278
9410,gen=46_member=7869_pso,34.3472936,5.45917,3.14083
9411,gen=48_member=8171_pso,32.984203199999996,5.93528,2.66472
9412,gen=34_member=5832_pso,37.2102736,4.01504,4.58496
9413,gen=44_member=7414_pso,37.2474812,4.00066,4.59934
9414,gen=31_member=5219_pso,30.0051444,6.621499999999999,1.9785
9415,gen=41_member=6937_pso,27.073096399999997,7.08601,1.51399
9416,gen=34_member=5810_pso,33.473472,5.760479999999999,2.83952
9417,gen=40_member=6776_pso,26.7634044,7.12435,1.47565
9418,gen=45_member=7648_pso,30.7232288,6.47086,2.12914
9419,gen=29_member=4835_pso,35.690109199999995,4.83252,3.76748
9420,gen=47_member=8055_pso,34.8084896,5.270809999999999,3.32919
9421,gen=37_member=6281_pso,36.5300652,4.388579999999999,4.21142
9422,gen=43_member=7284_pso,34.345288399999994,5.4704299999999995,3.12957
9423,gen=48_member=8089_pso,23.6883188,7.39798,1.20202
9424,gen=33_member=5544_pso,33.3166208,5.79579,2.80421
9426,gen=45_member=7683_pso,29.6065552,6.715739999999999,1.88426
9427,gen=46_member=7883_pso,19.399463360000002,7.6302129999999995,0.969787
9428,gen=37_member=6351_pso,31.9301364,6.1960299999999995,2.40397
9429,gen=45_member=7656_pso,32.459732,6.06072,2.53928
9430,gen=39_member=6706_pso,34.8283188,5.25956,3.34044
9431,gen=41_member=7043_pso,35.9641532,4.699819999999999,3.90018
9432,gen=48_member=8177_pso,28.045841199999998,6.94621,1.65379
9433,gen=31_member=5271_pso,35.63129,4.85537,3.74463
9434,gen=40_member=6734_pso,30.621631999999998,6.509309999999999,2.09069
9435,gen=45_member=7588_pso,35.7629648,4.793989999999999,3.80601
9436,gen=47_member=8054_pso,35.1736588,5.0907,3.5093
9438,gen=45_member=7688_pso,33.0893648,5.8971,2.7029
9439,gen=38_member=6463_pso,36.809456399999995,4.245419999999999,4.35458
9440,gen=43_member=7315_pso,33.308377199999995,5.81908,2.78092
9441,gen=36_member=6066_pso,36.3883644,4.45459,4.14541
9442,gen=49_member=8417_pso,33.5512292,5.744859999999999,2.85514
9443,gen=41_member=6953_pso,29.9957868,6.643949999999999,1.95605
9444,gen=33_member=5596_pso,33.6546084,5.71315,2.88685
9445,gen=46_member=7784_pso,34.9787088,5.1716999999999995,3.4283
9446,gen=45_member=7674_pso,35.83181,4.76642,3.83358
9447,gen=46_member=7884_pso,34.2047016,5.52915,3.07085
9448,gen=37_member=6266_pso,36.2700576,4.5270399999999995,4.07296
9449,gen=38_member=6437_pso,31.221632399999997,6.3780399999999995,2.22196
9450,gen=36_member=6159_pso,34.2706504,5.4923399999999996,3.10766
9451,gen=42_member=7074_pso,36.9674216,4.1547,4.4453
