member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
152,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,39.0853584,39.0854414587126,117.6979706587126,4.78258,4.782582221327709,3.817417778672291
gen=36_member=6021_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,15.73043752,15.730428646974957,94.34295784697495,0.811083,0.8110833649714815,7.788916635028518
16,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,38.467534,38.46752870631738,117.08005790631736,4.48927,4.489273592740293,4.1107264072597065
130,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,38.6001,38.60014577795708,117.21267497795709,4.69071,4.690710603433739,3.909289396566261
95,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,38.900657200000005,38.90068138512153,117.51321058512153,4.70127,4.701268362481829,3.8987316375181704
156,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.42649581404381,4.173504185956189
gen=47_member=7948_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,28.5299856,28.529932454502454,107.14246165450244,1.5703,1.5702986372987264,7.029701362701273
gen=48_member=8161_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.1702608914176431,7.429739108582357
gen=33_member=5661_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.8916696,36.89173247767671,115.50426167767671,4.21575,4.215754201843512,4.3842457981564875
gen=47_member=7921_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.271007614577858,4.328992385422142
gen=40_member=6722_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.6556098007990303,6.944390199200969
