member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,baseline_parameter_depletion_cfs,baseline_parameter_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_depletion_error_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
152,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,39.0853584,39.0854414587126,117.6979706587126,4.78258,5.043316056868707,3.5566839431312927,4.782582221327709,3.817417778672291,0.26073383554099827,-0.26073383554099827,0.26073383554099827,0.26073383554099827,0.26073383554099827
gen=36_member=6021_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,15.73043752,15.730428646974955,94.34295784697495,0.811083,0.890253200110472,7.709746799889528,0.8110833649714815,7.788916635028518,0.07916983513899056,-0.07916983513899023,0.07916983513899056,0.07916983513899023,0.07916983513899023
16,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,38.467534,38.46752870631738,117.08005790631736,4.48927,4.741137847833014,3.858862152166986,4.489273592740293,4.1107264072597065,0.2518642550927206,-0.2518642550927206,0.2518642550927206,0.2518642550927206,0.2518642550927206
130,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,38.6001,38.60014577795708,117.21267497795708,4.69071,4.947701445098628,3.652298554901372,4.690710603433739,3.909289396566261,0.25699084166488895,-0.25699084166488895,0.25699084166488895,0.25699084166488895,0.25699084166488895
95,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,38.900657200000005,38.90068138512153,117.51321058512151,4.70127,4.961542662659046,3.638457337340953,4.701268362481829,3.8987316375181695,0.2602743001772172,-0.26027430017721676,0.2602743001772172,0.26027430017721676,0.26027430017721676
156,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.6734536608837525,3.926546339116247,4.42649581404381,4.173504185956189,0.24695784683994226,-0.24695784683994226,0.24695784683994226,0.24695784683994226,0.24695784683994226
gen=47_member=7948_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.5299856,28.52993245450245,107.14246165450244,1.5703,1.702360249045488,6.897639750954512,1.5702986372987264,7.029701362701273,0.13206161174676168,-0.132061611746761,0.13206161174676168,0.132061611746761,0.132061611746761
gen=48_member=8161_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.2849301202224828,7.315069879777517,1.1702608914176431,7.429739108582357,0.11466922880483965,-0.1146692288048401,0.11466922880483965,0.1146692288048401,0.1146692288048401
gen=33_member=5661_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.8916696,36.89173247767671,115.50426167767672,4.21575,4.456111392161795,4.143888607838204,4.215754201843512,4.384245798156488,0.2403571903182833,-0.24035719031828418,0.2403571903182833,0.24035719031828418,0.24035719031828418
gen=47_member=7921_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.512578031465255,4.087421968534745,4.271007614577858,4.328992385422142,0.2415704168873969,-0.2415704168873969,0.2415704168873969,0.2415704168873969,0.2415704168873969
gen=40_member=6722_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.792047023180875,6.8079529768191245,1.6556098007990303,6.944390199200969,0.13643722238184464,-0.13643722238184441,0.13643722238184464,0.13643722238184441,0.13643722238184441
gen=48_member=8113_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.472933952032492,4.127066047967507,4.232401729996877,4.367598270003123,0.24053222203561564,-0.24053222203561564,0.24053222203561564,0.24053222203561564,0.24053222203561564
gen=48_member=8218_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.266981202687147,4.333018797312852,4.033988191639938,4.566011808360062,0.23299301104720982,-0.23299301104720982,0.23299301104720982,0.23299301104720982,0.23299301104720982
gen=42_member=7058_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,17.825114,17.82511697626178,96.4376461762618,0.864582,0.9532707841204232,7.646729215879576,0.8645822572117029,7.735417742788297,0.08868852690872031,-0.08868852690872053,0.08868852690872031,0.08868852690872053,0.08868852690872053
gen=48_member=8245_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.87897,36.87888641911074,115.49141561911075,4.17121,4.4106760689387565,4.189323931061243,4.1712068907145685,4.428793109285431,0.239469178224188,-0.239469178224188,0.239469178224188,0.239469178224188,0.239469178224188
gen=41_member=6922_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.1159516,32.11592080418332,110.72845000418332,2.24821,2.4122224167392323,6.187777583260767,2.248210831838707,6.351789168161293,0.16401158490052525,-0.1640115849005257,0.16401158490052525,0.1640115849005257,0.1640115849005257
gen=41_member=6885_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.9114799842094684,7.688520015790531,0.8285654379401006,7.771434562059899,0.08291454626936778,-0.08291454626936812,0.08291454626936778,0.08291454626936812,0.08291454626936812
gen=37_member=6262_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.359392814340591,7.240607185659408,1.2424981099154595,7.35750189008454,0.11689470442513139,-0.11689470442513272,0.11689470442513139,0.11689470442513272,0.11689470442513272
gen=39_member=6554_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,22.91498,22.91493475179726,101.52746395179726,1.07599,1.184382903630549,7.41561709636945,1.0759853155948564,7.524014684405143,0.10839758803569266,-0.1083975880356931,0.10839758803569266,0.1083975880356931,0.1083975880356931
gen=44_member=7409_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.0261612,29.02617500954204,107.638704209542,1.61819,1.7519680718610382,6.848031928138962,1.6181922753542444,6.981807724645755,0.13377579650679383,-0.13377579650679294,0.13377579650679383,0.13377579650679294,0.13377579650679294
gen=33_member=5597_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,20.425457360000003,20.42544700516081,99.03797620516082,0.993719,1.090760291743301,7.509239708256699,0.9937193119614058,7.606280688038594,0.09704097978189519,-0.09704097978189541,0.09704097978189519,0.09704097978189541,0.09704097978189541
gen=35_member=5926_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.7585784,28.75848621927199,107.371015419272,1.60584,1.73929718602645,6.86070281397355,1.6058441235180438,6.994155876481956,0.13345306250840605,-0.13345306250840583,0.13345306250840605,0.13345306250840583,0.13345306250840583
gen=42_member=7147_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.785394,36.78548226240043,115.39801146240043,4.12536,4.363592089789737,4.236407910210263,4.125357521076862,4.474642478923138,0.2382345687128753,-0.2382345687128744,0.2382345687128753,0.2382345687128744,0.2382345687128744
gen=47_member=7992_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.3031812,37.30318347661641,115.91571267661642,4.41535,4.661877862194679,3.938122137805321,4.415352874721832,4.184647125278167,0.24652498747284657,-0.24652498747284657,0.24652498747284657,0.24652498747284657,0.24652498747284657
gen=44_member=7479_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.72709,29.726992928553692,108.3395221285537,1.7727,1.915405305602828,6.684594694397172,1.7727044994457113,6.827295500554288,0.14270080615711667,-0.14270080615711578,0.14270080615711667,0.14270080615711578,0.14270080615711578
gen=46_member=7840_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,27.8384144,27.838357196260656,106.45088639626066,1.46259,1.5883430354365016,7.011656964563498,1.4625932530033692,7.13740674699663,0.1257497824331324,-0.1257497824331324,0.1257497824331324,0.1257497824331324,0.1257497824331324
gen=36_member=6076_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.071692,37.07165394641189,115.6841831464119,4.31441,4.558340891432335,4.041659108567665,4.314408249931125,4.285591750068875,0.2439326415012104,-0.24393264150120952,0.2439326415012104,0.24393264150120952,0.24393264150120952
gen=39_member=6576_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,24.5768452,24.57679423226629,103.18932343226628,1.21064,1.3240507779381765,7.275949222061824,1.2106413178735036,7.389358682126496,0.1134094600646729,-0.11340946006467245,0.1134094600646729,0.11340946006467245,0.11340946006467245
gen=46_member=7833_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.2738412,30.273822445456965,108.88635164545695,1.83739,1.9830971689617287,6.616902831038271,1.837394816219615,6.762605183780384,0.14570235274211374,-0.14570235274211374,0.14570235274211374,0.14570235274211374,0.14570235274211374
